ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Field	Plane	Timepoint	Object Number	X	Y	Bounding Box	Nuclei Selected - LDRTXT SER Spot 8 px	Nuclei Selected - LDRINT	Nuclei Selected - EdUINT	Nuclei Selected - BckgrndLDRINT Mean	Nuclei Selected - RawLDRINT Mean	Nuclei Selected - BckgrndEdUINT Mean	Nuclei Selected - RawS100INT Mean	Nuclei Selected - RawEdUINT Mean	Nuclei Selected - DNAcontent	Nuclei Selected - NucINT Mean	Nuclei Selected - Object No in Nuclei No Border	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Nucleus Area [µm²]
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	1	882	31	[877,28,885,38]	0.00487176	33.2423	180.71	41.1327	74.375	269.493	2038.06	450.203	44282.8	701.391	1	1	63.1357
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	2	1208	134	[1201,128,1215,143]	0.00175238	13.771	139.497	37.4987	51.2697	215.947	1698.88	355.444	86037.2	489.972	2	2	175.596
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	3	146	164	[138,156,155,177]	0.000430437	3.75546	54.4434	37.5528	41.3082	219.937	1285.67	274.38	119331	414.264	3	3	288.057
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	4	1035	197	[1026,188,1045,206]	0.000765958	3.94823	65.3386	39.3721	43.3203	236.185	1423.07	301.523	142905	515.52	4	4	277.205
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	5	754	235	[747,229,761,243]	0.00138505	7.52727	76.9782	37.3884	44.9157	229.443	1436.81	306.422	77197.2	471.41	5	5	163.758
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	6	891	242	[883,234,898,249]	0.00119356	7.47045	100.824	37.7025	45.173	228.841	1555.05	329.665	84501.2	463.016	6	6	182.502
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	7	440	304	[432,299,448,309]	0.0023452	16.0069	112.312	37.8253	53.8322	225.359	1603.96	337.671	78360.3	555.476	7	7	141.069
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	8	10	312	[6,309,15,318]	0.000988542	9.57362	58.227	35.843	45.4167	208.09	1258.9	266.317	8385.21	141.667	8	8	59.1897
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	9	875	424	[869,420,879,427]	0.00139507	5.77152	202.35	59.0566	64.8281	319.025	2204.92	521.375	110056	1743.17	9	10	63.1357
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	10	960	427	[949,419,972,436]	0.000329754	3.57473	65.9359	38.6429	42.2177	233.85	1424.82	299.785	172757	552.435	10	11	312.719
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	11	355	459	[347,453,361,465]	0.00144633	8.46079	80.5766	37.6192	46.08	228.49	1455.77	309.067	80190.2	541.92	11	12	147.974
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	12	151	500	[143,493,162,508]	0.00104135	8.88111	109.891	38.5746	47.4557	236.687	2407.93	346.578	164404	703.186	12	13	233.799
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	13	436	506	[433,502,443,513]	0.000362739	10.5983	51.1039	36.7483	47.3467	223.589	1269.45	274.693	12853	173.72	14	15	73.9871
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	14	860	510	[851,501,870,522]	0.000172643	2.40385	49.4965	39.0931	41.4969	230.167	1327.56	279.664	153576	480.488	15	16	319.624
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	15	450	513	[446,508,457,526]	0.00144862	16.9296	122.447	37.5037	54.4333	226.978	1576.42	349.425	43689.9	369.067	16	17	118.379
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	16	789	521	[783,517,793,526]	0.000298956	8.17723	42.563	36.9257	45.1029	224.143	1266.84	266.706	11882.3	177.132	17	18	67.0817
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	17	804	533	[793,525,814,541]	0.000584912	5.22486	66.5234	37.5034	42.7282	229.602	1368.66	296.125	146371	516.986	18	19	283.124
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	18	431	537	[424,531,434,540]	0.000769195	7.01709	42.9147	37.9353	44.9524	223.165	1269	266.079	9196.11	147.968	19	20	62.1492
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	19	869	549	[859,541,881,558]	0.000425668	3.53413	62.0559	37.5133	41.0475	229.014	1338.97	291.07	155042	497.358	20	21	311.732
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	20	268	559	[265,554,271,563]	0.000225999	6.5523	59.5015	36.5022	43.0545	211.444	1316.8	270.945	8598.29	158.473	21	22	54.2572
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	21	232	564	[224,556,241,574]	0.00143621	9.29228	108.683	37.4379	46.7302	229.227	2197.78	337.91	168942	616.025	22	23	274.246
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	22	474	577	[469,572,480,582]	0.0025172	18.0837	112.649	35.8971	53.9808	214.39	1530.72	327.038	25432.8	247.894	24	25	102.595
screen 3-6-18	6222	180306_185009-V	20849	2018-03-06T23:47:36Z	25243	F9	6	9	1	1	1	23	1289	599	[1280,590,1302,608]	0.000457589	4.54841	49.8511	37.8924	42.4408	225.942	1861.72	275.793	136955	382.452	25	26	358.098
