well,cell_count__total,G1,S,G2,S_dropout,other,cell_count,cell_count__dead,corpse_count
B02,3087.0,0.2989957887917072,0.4846128927761581,0.16682863621639132,0.02850664075153871,0.02105604146420473,3058.0,29.0,10
B03,3388.0,0.307556080283353,0.44155844155844154,0.19569067296340023,0.03010625737898465,0.025088547815820542,3345.0,43.0,11
B04,2977.0,0.3265031911320121,0.43332213637890493,0.18374202216996977,0.029224051058112193,0.02720859926100101,2932.0,45.0,15
B05,3096.0,0.29037467700258396,0.46059431524547806,0.187984496124031,0.030684754521963824,0.030361757105943153,3035.0,61.0,12
B06,2968.0,0.29851752021563344,0.4423854447439353,0.19609164420485176,0.03335579514824798,0.029649595687331536,2919.0,49.0,20
B07,2278.0,0.3287971905179982,0.3388937664618086,0.24100087796312555,0.046532045654082525,0.04477611940298507,2228.0,50.0,8
B08,1407.0,0.224591329068941,0.031982942430703626,0.5344705046197583,0.08813077469793888,0.12082444918265814,1309.0,98.0,14
B09,928.0,0.22198275862068967,0.022629310344827586,0.4547413793103448,0.20905172413793102,0.09159482758620689,863.0,65.0,23
B10,282.0,0.28368794326241137,0.01773049645390071,0.05673758865248227,0.06028368794326241,0.5815602836879432,212.0,70.0,59
B11,184.0,0.3641304347826087,0.05434782608695652,0.03804347826086957,0.11413043478260869,0.42934782608695654,157.0,27.0,102
C02,3562.0,0.3054463784390792,0.41297024143739475,0.15131948343627175,0.06569343065693431,0.06457046603032005,3444.0,118.0,37
C03,3024.0,0.2810846560846561,0.4064153439153439,0.1527777777777778,0.0916005291005291,0.06812169312169312,2934.0,90.0,36
C04,3132.0,0.2921455938697318,0.4278416347381865,0.1768837803320562,0.06130268199233716,0.041826309067688375,3065.0,67.0,18
C05,3080.0,0.2597402597402597,0.42694805194805197,0.1409090909090909,0.09610389610389611,0.0762987012987013,3011.0,69.0,34
C06,2675.0,0.2646728971962617,0.42990654205607476,0.18205607476635513,0.07177570093457944,0.05158878504672897,2599.0,76.0,40
C07,2418.0,0.3316790736145575,0.3105872622001654,0.19230769230769232,0.10090984284532671,0.06451612903225806,2328.0,90.0,20
C08,1325.0,0.15773584905660376,0.022641509433962263,0.5532075471698114,0.1230188679245283,0.14339622641509434,1219.0,106.0,24
C09,777.0,0.5495495495495496,0.007722007722007722,0.009009009009009009,0.015444015444015444,0.41827541827541825,661.0,116.0,31
